


         _+=+_
      .-`  .  `-.          8888888b.  8888888b.   .d88888b.   .d8888b.
   _+`     "     `+_       888   Y88b 888   Y88b d88P" "Y88b d88P  Y88b
  \\\sssssssssssss///      888    888 888    888 888     888 Y88b.
     .ss\  *  /ss.         888   d88P 888   d88P 888     888  "Y888b.
 .+bm  .s  *  s.  md+.     8888888P"  8888888P"  888     888     "Y88b.
.hMMMMs .  *  . sMMMMh.    888        888 T88b   888     888       "888
 `\hMMMb \ | / dMMMh:      888        888  T88b  Y88b. .d88P Y88b  d88P
   -SNMNo  -  oNMNs-       888        888   T88b  "Y88888P"   "Y8888P"
     `+dMh\./dMd/
        `:yNy:`                      Powered by PROS for VEX V5
           "                Copyright (c) Purdue University ACM SIGBots
Version:        3.5.4     Platform:  V1.1.0 (b8)     Uptime:    0.000 s
Compiled:   Dec 15 2021 20:20:32     Directory:  ics/VEX/tippingpoint-B


X: 0.012811, Y: 0.391124, A: -3.203572
X: 8.752047, Y: -6.819536, A: -255.124996
X: 8.052196, Y: -6.962993, A: -260.974999
X: 7.347046, Y: -7.034124, A: -266.778501
X: 6.593013, Y: -7.030662, A: -272.953511
X: 5.882856, Y: -6.952958, A: -278.803459
X: 5.189792, Y: -6.804779, A: -284.606961
X: 4.520553, Y: -6.589320, A: -290.364073
X: 3.866181, Y: -6.302685, A: -296.214021
X: 3.249205, Y: -5.953917, A: -302.017551
X: 2.666222, Y: -5.541013, A: -307.867498
X: 2.124309, Y: -5.066859, A: -313.763891
X: 1.641215, Y: -4.548283, A: -319.567421
X: 1.209869, Y: -3.978803, A: -325.417396
X: 0.841481, Y: -3.373334, A: -331.220926
X: 0.534058, Y: -2.728468, A: -337.070874
X: 0.293968, Y: -2.055625, A: -342.920821
X: 0.123706, Y: -1.361809, A: -348.770824
X: 0.025043, Y: -0.654259, A: -354.620772
X: -0.001105, Y: 0.053990, A: -0.424301
X: 0.045185, Y: 0.766886, A: -6.274276
X: 0.161381, Y: 1.460279, A: -12.031334
X: 0.351972, Y: 2.154664, A: -17.927754
X: 0.610532, Y: 2.820629, A: -23.777702
X: 0.938494, Y: 3.461672, A: -29.674122
X: 1.333934, Y: 4.070202, A: -35.616960
X: 1.786438, Y: 4.630319, A: -41.513353
X: 2.328096, Y: 5.171100, A: -47.781227
X: 2.888465, Y: 5.623291, A: -53.677620
X: 3.492324, Y: 6.015525, A: -59.574040
X: 4.128088, Y: 6.341353, A: -65.423988
X: 4.788355, Y: 6.598929, A: -71.227518
X: 5.476833, Y: 6.789622, A: -77.077493
X: 6.186800, Y: 6.909776, A: -82.973886
X: 6.899681, Y: 6.956316, A: -88.823861
X: 7.613591, Y: 6.929954, A: -94.673809
X: 8.321100, Y: 6.830965, A: -100.523811
X: 9.014826, Y: 6.660381, A: -106.373731
X: 9.692788, Y: 6.417761, A: -112.270152
X: 10.347198, Y: 6.104027, A: -118.212963
X: 10.965614, Y: 5.724222, A: -124.155828
X: 11.532784, Y: 5.289854, A: -130.005749
X: 12.056633, Y: 4.795813, A: -135.902169
X: 12.526957, Y: 4.250570, A: -141.798589
X: 12.938776, Y: 3.659902, A: -147.694955
X: 13.290200, Y: 3.024930, A: -153.637821
X: 13.570155, Y: 2.367670, A: -159.487796
X: 13.784385, Y: 1.674277, A: -165.430661
X: 13.930151, Y: 0.928678, A: -171.652199
X: 13.993122, Y: 0.217044, A: -177.502283
X: 13.982826, Y: -0.502962, A: -183.398813
X: 13.898618, Y: -1.218099, A: -189.295342
X: 13.741382, Y: -1.920801, A: -195.191872
X: 13.510678, Y: -2.608887, A: -201.134738
X: 13.212619, Y: -3.264381, A: -207.031267
X: 12.845646, Y: -3.890517, A: -212.974297
X: 12.423053, Y: -4.466540, A: -218.824381
X: 11.935861, Y: -5.004454, A: -224.767356
X: 11.400032, Y: -5.485485, A: -230.663831
X: 10.817619, Y: -5.908931, A: -236.560361
X: 10.194784, Y: -6.270305, A: -242.456890
X: 9.532816, Y: -6.567803, A: -248.399865
X: 8.849086, Y: -6.793698, A: -254.296395
X: 8.145768, Y: -6.948160, A: -260.192925
X: 7.430311, Y: -7.029547, A: -266.089400
X: 6.715942, Y: -7.037273, A: -271.939484
X: 6.004505, Y: -6.972146, A: -277.789568
X: 5.292429, Y: -6.832015, A: -283.732434
X: 4.593364, Y: -6.616928, A: -289.721799
X: 3.930720, Y: -6.335123, A: -295.618329
X: 3.262302, Y: -5.962258, A: -301.886312
X: 2.669471, Y: -5.543608, A: -307.829341
X: 2.123178, Y: -5.065831, A: -313.772316
X: 1.629285, Y: -4.534055, A: -319.715346
X: 1.196262, Y: -3.958732, A: -325.611821
X: 0.821984, Y: -3.336942, A: -331.554796
X: 0.514096, Y: -2.679741, A: -337.497771
X: 0.279018, Y: -2.005114, A: -343.347855
X: 0.114921, Y: -1.315628, A: -349.151494
X: 0.020539, Y: -0.601760, A: -355.048024
X: -0.000007, Y: 0.118027, A: -0.944553
X: 0.053501, Y: 0.836117, A: -6.841083
X: 0.181827, Y: 1.550416, A: -12.783948
X: 0.383416, Y: 2.247609, A: -18.726978
X: 0.656106, Y: 2.920177, A: -24.669953
X: 0.996970, Y: 3.560902, A: -30.612983
X: 1.402339, Y: 4.162884, A: -36.555957
X: 1.860090, Y: 4.711381, A: -42.406042
X: 2.379937, Y: 5.217805, A: -48.349017
X: 2.944778, Y: 5.664434, A: -54.245601
X: 3.552507, Y: 6.050668, A: -60.142131
X: 4.201918, Y: 6.374664, A: -66.085106
X: 4.870544, Y: 6.626303, A: -71.935190
X: 5.611472, Y: 6.818319, A: -78.203173
X: 6.318025, Y: 6.923988, A: -84.053257
X: 7.037345, Y: 6.957027, A: -89.949786
X: 7.761893, Y: 6.915342, A: -95.892761
X: 8.478237, Y: 6.798862, A: -101.835791
X: 9.178664, Y: 6.608839, A: -107.778766
X: 9.845312, Y: 6.352006, A: -113.628850
X: 10.492119, Y: 6.022843, A: -119.571825
X: 11.092207, Y: 5.635181, A: -125.421909
X: 11.653874, Y: 5.184575, A: -131.318439
X: 12.166281, Y: 4.678648, A: -137.215023
X: 12.623997, Y: 4.122761, A: -143.111553
X: 13.022184, Y: 3.522795, A: -149.008083
X: 13.356628, Y: 2.885095, A: -154.904612
X: 13.623785, Y: 2.216416, A: -160.801087
X: 13.822073, Y: 1.518283, A: -166.744062
X: 13.947013, Y: 0.803366, A: -172.687092
X: 13.997259, Y: 0.079362, A: -178.630067
X: 13.972273, Y: -0.645961, A: -184.573096
X: 13.872322, Y: -1.364791, A: -190.516071
X: 13.698479, Y: -2.069415, A: -196.459101
X: 13.454845, Y: -2.747024, A: -202.355630
X: 13.117570, Y: -3.440417, A: -208.670004
X: 12.736121, Y: -4.051171, A: -214.566588
X: 12.290207, Y: -4.623777, A: -220.509617
X: 11.795730, Y: -5.139402, A: -226.359647
X: 11.255802, Y: -5.598519, A: -232.163232
X: 10.677076, Y: -5.997726, A: -237.920261
X: 10.050968, Y: -6.341768, A: -243.770291
X: 9.387724, Y: -6.622108, A: -249.666657
X: 8.693674, Y: -6.834170, A: -255.609468
X: 7.981397, Y: -6.973234, A: -261.552279
X: 7.264235, Y: -7.037629, A: -267.448535
X: 6.538579, Y: -7.027605, A: -273.391346
X: 5.823449, Y: -6.943493, A: -279.287712
X: 5.115286, Y: -6.784803, A: -285.230523
X: 4.432625, Y: -6.555760, A: -291.126889
X: 3.777108, Y: -6.257801, A: -297.023254
X: 3.155671, Y: -5.894073, A: -302.919620
X: 2.574884, Y: -5.468433, A: -308.815986
X: 2.044879, Y: -4.989421, A: -314.665906
X: 1.566455, Y: -4.458883, A: -320.515827
X: 1.141515, Y: -3.877581, A: -326.412192
X: 0.778547, Y: -3.255713, A: -332.308449
X: 0.463332, Y: -2.552040, A: -338.622603
X: 0.238664, Y: -1.862008, A: -344.565087
X: 0.086641, Y: -1.152411, A: -350.507679
X: 0.008900, Y: -0.430887, A: -356.450271
X: 0.005972, Y: 0.289139, A: -2.346419
X: 0.077027, Y: 1.005672, A: -8.242675
X: 0.222768, Y: 1.716586, A: -14.185267
X: 0.439310, Y: 2.403285, A: -20.081415
X: 0.725258, Y: 3.064118, A: -25.977671
X: 1.077569, Y: 3.692072, A: -31.873818
X: 1.492531, Y: 4.280522, A: -37.770075
X: 1.965737, Y: 4.823221, A: -43.666222
X: 2.492189, Y: 5.314438, A: -49.562369
X: 3.061613, Y: 5.745822, A: -55.412180
X: 3.682054, Y: 6.122243, A: -61.354772
X: 4.338147, Y: 6.432406, A: -67.297474
X: 5.028260, Y: 6.674529, A: -73.286403
X: 5.728699, Y: 6.841352, A: -79.182550
X: 6.448233, Y: 6.935753, A: -85.125142
X: 7.173686, Y: 6.955156, A: -91.067844
X: 7.897236, Y: 6.899348, A: -97.010436
X: 8.649653, Y: 6.759270, A: -103.278036
X: 9.345014, Y: 6.551686, A: -109.220520
X: 10.010069, Y: 6.275703, A: -115.116776
X: 10.643243, Y: 5.932869, A: -121.012923
X: 11.237860, Y: 5.526796, A: -126.909180
X: 11.783501, Y: 5.065694, A: -132.758991
X: 12.279296, Y: 4.551391, A: -138.608693
X: 12.723331, Y: 3.984575, A: -144.504840
X: 13.109529, Y: 3.370172, A: -150.447432
X: 13.432249, Y: 2.713842, A: -156.436579
X: 13.683069, Y: 2.032880, A: -162.379062
X: 13.860971, Y: 1.335156, A: -168.275319
X: 13.966756, Y: 0.617222, A: -174.217802
X: 13.997645, Y: -0.107820, A: -180.160394
X: 13.953973, Y: -0.826540, A: -186.056651
X: 13.835455, Y: -1.542496, A: -191.999243
X: 13.645260, Y: -2.236954, A: -197.895390
X: 13.384732, Y: -2.908213, A: -203.791647
X: 13.056630, Y: -3.549148, A: -209.687794
X: 12.664417, Y: -4.152997, A: -215.584050
X: 12.208441, Y: -4.717554, A: -221.526643
X: 11.662440, Y: -5.261885, A: -227.840579
X: 11.097008, Y: -5.716776, A: -233.783171
X: 10.487515, Y: -6.110678, A: -239.725764
X: 9.840507, Y: -6.439371, A: -245.668465
X: 9.162958, Y: -6.699306, A: -251.611058
X: 8.462151, Y: -6.887689, A: -257.553541
X: 7.745593, Y: -7.002507, A: -263.496133
X: 7.020984, Y: -7.042525, A: -269.438835
X: 6.296140, Y: -7.007308, A: -275.381427
X: 5.578838, Y: -6.897232, A: -281.324020
X: 4.876799, Y: -6.713487, A: -287.266503
X: 4.202705, Y: -6.460335, A: -293.162869
X: 3.558210, Y: -6.139288, A: -299.059016
X: 2.954715, Y: -5.757041, A: -304.908718
X: 2.393313, Y: -5.315268, A: -310.758529
X: 1.872180, Y: -4.810234, A: -316.701121
X: 1.406127, Y: -4.253948, A: -322.643823
X: 1.000186, Y: -3.652423, A: -328.586306
X: 0.658698, Y: -3.012092, A: -334.528899
X: 0.385339, Y: -2.339846, A: -340.471491
X: 0.183045, Y: -1.642898, A: -346.414193
X: 0.054942, Y: -0.934351, A: -352.310340
X: -0.000537, Y: -0.170998, A: -358.577940
X: 0.023785, Y: 0.554294, A: -4.520532
X: 0.121974, Y: 1.267599, A: -10.416680
X: 0.292913, Y: 1.967047, A: -16.312827
X: 0.537018, Y: 2.650473, A: -22.255528
X: 0.847819, Y: 3.299973, A: -28.151676
X: 1.182019, Y: 3.853308, A: -33.444580
X: 1.466572, Y: 4.249406, A: -37.437345
X: 1.684454, Y: 4.518148, A: -40.269415
X: 1.815208, Y: 4.667573, A: -41.894672
X: 1.853278, Y: 4.709597, A: -42.358797
X: 1.857095, Y: 4.713777, A: -42.405133
WARNING - pros.serial.terminal.terminal:stop - Stopping terminal
WARNING - pros.serial.terminal.terminal:reader - Connection to /dev/cu.usbmodem1203 broken
